"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Eastern provinces","","International exports of sheep and lambs","January to June","Head","148","thousands","3","v44184542","2.12.1","0.8","","","","1"
"2000","Eastern provinces","","International exports of sheep and lambs","July to December","Head","148","thousands","3","v44184802","2.12.2","0.8","","","","1"
"2000","Eastern provinces","","Total slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184543","2.13.1","207.1","","","","1"
"2000","Eastern provinces","","Total slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184803","2.13.2","200.0","","","","1"
"2000","Eastern provinces","","Federal Provincial Inspected Slaughter (FPIS)","January to June","Head","148","thousands","3","v44184544","2.14.1","150.5","","","","1"
"2000","Eastern provinces","","Federal Provincial Inspected Slaughter (FPIS)","July to December","Head","148","thousands","3","v44184804","2.14.2","149.0","","","","1"
"2000","Eastern provinces","","International imports for slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184545","2.15.1","0.0","","","","1"
"2000","Eastern provinces","","International imports for slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184805","2.15.2","0.0","","","","1"
"2000","Eastern provinces","","Provincially inspected slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184546","2.16.1","4.5","","","","1"
"2000","Eastern provinces","","Provincially inspected slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184806","2.16.2","14.4","","","","1"
"2000","Eastern provinces","","Commercial slaughter of sheep and lambs, not elsewhere specified","January to June","Head","148","thousands","3","v44184547","2.17.1","15.5","","","","1"
"2000","Eastern provinces","","Commercial slaughter of sheep and lambs, not elsewhere specified","July to December","Head","148","thousands","3","v44184807","2.17.2","17.4","","","","1"
"2000","Eastern provinces","","Sheep and lambs consumed on farms","January to June","Head","148","thousands","3","v44184548","2.18.1","2.3","","","","1"
"2000","Eastern provinces","","Sheep and lambs consumed on farms","July to December","Head","148","thousands","3","v44184808","2.18.2","3.4","","","","1"
"2000","Eastern provinces","","Farm sales of sheep and lambs to consumers","January to June","Head","148","thousands","3","v44184549","2.19.1","34.3","","","","1"
"2000","Eastern provinces","","Farm sales of sheep and lambs to consumers","July to December","Head","148","thousands","3","v44184809","2.19.2","15.8","","","","1"
"2000","Eastern provinces","","Ending inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184550","2.20.1","571.3","","","","1"
"2000","Eastern provinces","","Ending inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184810","2.20.2","507.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total supply of sheep and lambs","January to June","Head","148","thousands","3","v44184551","3.1.1","8.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Total supply of sheep and lambs","July to December","Head","148","thousands","3","v44184811","3.1.2","7.4","","","","1"
