DGUID,Greenhouse cucumbers (m2),Greenhouse peppers (m2),Greenhouse tomatoes (m2),year,CD,Greenhouse tomatoes (Vegetable kg),Greenhouse tomatoes (Vegetable kg P),Greenhouse tomatoes (Total kg P),Greenhouse cucumbers (Vegetable kg),Greenhouse cucumbers (Vegetable kg P),Greenhouse cucumbers (Total kg P),Greenhouse peppers (Vegetable kg),Greenhouse peppers (Vegetable kg P),Greenhouse peppers (Total kg P)
2021A00032468,112244.0,39521.0,16300.0,2021,2468,640958.38,256.383352,256.383352,5168016.8188000005,3617.6117731600007,3617.6117731600007,834703.2805,1001.6439366,1001.6439366
2021A00032469,0.0,0.0,0.0,2021,2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032470,0.0,0.0,0.0,2021,2470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032471,0.0,0.0,27098.0,2021,2471,1065563.8148,426.22552592,426.22552592,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032472,0.0,0.0,0.0,2021,2472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032473,0.0,0.0,0.0,2021,2473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032474,0.0,0.0,89587.0,2021,2474,3522793.7662,1409.1175064800002,1409.1175064800002,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032475,0.0,0.0,48812.0,2021,2475,1919414.7512,767.76590048,767.76590048,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032476,0.0,0.0,0.0,2021,2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032477,0.0,0.0,0.0,2021,2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032478,0.0,0.0,0.0,2021,2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032479,0.0,0.0,0.0,2021,2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032480,0.0,0.0,0.0,2021,2480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032481,0.0,0.0,0.0,2021,2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032482,0.0,0.0,0.0,2021,2482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032483,0.0,0.0,0.0,2021,2483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032484,0.0,0.0,0.0,2021,2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
