DGUID,Apples (m2),"Blueberries, total (m2)",Cranberries (m2),Grapes (m2),Pears (m2),Plums and prunes (m2),Raspberries (m2),Strawberries (m2),Cherries (m2),year,CD,Apples (Fruit kg),Apples (Fruit kg P),"Asparagus, producing (Total kg P)",Pears (Fruit kg),Pears (Fruit kg P),Plums and prunes (Fruit kg),Plums and prunes (Fruit kg P),Grapes (Fruit kg),Grapes (Fruit kg P),Strawberries (Fruit kg),Strawberries (Fruit kg P),Raspberries (Fruit kg),Raspberries (Fruit kg P),Cranberries (Fruit kg),Cranberries (Fruit kg P),"Blueberries, total (Fruit kg)","Blueberries, total (Fruit kg P)",Cherries (Fruit kg),Cherries (Fruit kg P)
2021A00032433,240000.0,0.0,390000.0,130000.0,10000.0,0.0,0.0,420000.0,0.0,2021,2433,506616.0,101.3232,0.0,4698.0,0.46980000000000005,0.0,0.0,66300.0,66.3,394800.0,90.804,0.0,0.0,896999.9999999999,57.8565,0.0,0.0,0.0,0.0
2021A00032434,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,770000.0,0.0,2021,2434,0.0,0.0,0.0,0.0,0.0,2822.0,0.5644,0.0,0.0,723800.0,166.47400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032436,0.0,0.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598000.0,38.571,0.0,0.0,0.0,0.0
2021A00032437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590000.0,0.0,2021,2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554600.0,127.55799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032438,0.0,120000.0,4820000.0,120000.0,0.0,0.0,0.0,0.0,0.0,2021,2438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61200.0,61.2,0.0,0.0,0.0,0.0,11086000.0,715.047,14400.0,1.7280000000000002,0.0,0.0
2021A00032439,0.0,0.0,20190000.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46437000.0,2995.1865000000003,0.0,0.0,0.0,0.0
2021A00032440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032441,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,20000.0,2021,2441,0.0,0.0,0.6956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18600.0,5.58,0.0,0.0,0.0,0.0,3478.0,0.6956
2021A00032442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
