DGUID,CD,REF_DATE,Animal,kg P live,kg P carcass,kg P slaugther waste
2021A00032419,2419,2021,Calves,33003.53094323895,18151.942018781425,14851.588924457525
2021A00032419,2419,2021,Cattle,22396.42156270126,10974.246565723615,11422.174996977641
2021A00032419,2419,2021,Chicken,202631.20566143858,145894.4680762358,56736.73758520281
2021A00032419,2419,2021,Turkey,14549.265647587672,11202.934548642508,3346.3310989451643
2021A00032419,2419,2021,Rabbit,117.2031788759777,62.11768480426818,55.08549407170952
2021A00032420,2420,2021,Hogs,0.0,0.0,0.0
2021A00032420,2420,2021,Sheep,0.0,0.0,0.0
2021A00032420,2420,2021,Goat,0.0,0.0,0.0
2021A00032420,2420,2021,Calves,0.0,0.0,0.0
2021A00032420,2420,2021,Cattle,0.0,0.0,0.0
2021A00032420,2420,2021,Chicken,0.0,0.0,0.0
2021A00032420,2420,2021,Turkey,0.0,0.0,0.0
2021A00032420,2420,2021,Rabbit,0.0,0.0,0.0
2021A00032421,2421,2021,Hogs,0.0,0.0,0.0
2021A00032421,2421,2021,Sheep,0.0,0.0,0.0
2021A00032421,2421,2021,Goat,0.0,0.0,0.0
2021A00032421,2421,2021,Calves,0.0,0.0,0.0
2021A00032421,2421,2021,Cattle,0.0,0.0,0.0
2021A00032421,2421,2021,Chicken,0.0,0.0,0.0
2021A00032421,2421,2021,Turkey,0.0,0.0,0.0
2021A00032421,2421,2021,Rabbit,0.0,0.0,0.0
2021A00032422,2422,2021,Hogs,0.0,0.0,0.0
2021A00032422,2422,2021,Sheep,0.0,0.0,0.0
2021A00032422,2422,2021,Goat,0.0,0.0,0.0
2021A00032422,2422,2021,Calves,0.0,0.0,0.0
2021A00032422,2422,2021,Cattle,0.0,0.0,0.0
2021A00032422,2422,2021,Chicken,0.0,0.0,0.0
2021A00032422,2422,2021,Turkey,0.0,0.0,0.0
2021A00032422,2422,2021,Rabbit,0.0,0.0,0.0
2021A00032423,2423,2021,Hogs,93793.23378114251,75034.58702491401,18758.64675622849
2021A00032423,2423,2021,Sheep,303.76444210491013,139.73164336825866,164.03279873665144
2021A00032423,2423,2021,Goat,18.592151012277427,9.296075506138713,9.296075506138713
2021A00032423,2423,2021,Calves,6489.847582260422,3569.4161702432325,2920.43141201719
2021A00032423,2423,2021,Cattle,4404.054904911863,2157.986903406813,2246.0680015050502
2021A00032423,2423,2021,Chicken,39845.60447226328,28688.835220029563,11156.76925223372
2021A00032423,2423,2021,Turkey,2860.982258203034,2202.9563388163365,658.0259193866975
2021A00032423,2423,2021,Rabbit,23.046951199544946,12.214884135758822,10.832067063786125
2021A00032425,2425,2021,Hogs,59413.50751972728,47530.80601578183,11882.70150394545
2021A00032425,2425,2021,Sheep,192.42018040809256,88.51328298772258,103.90689742036999
2021A00032425,2425,2021,Goat,11.777234449058302,5.888617224529151,5.888617224529151
2021A00032425,2425,2021,Calves,4111.006653531514,2261.0536594423324,1849.9529940891814
2021A00032425,2425,2021,Cattle,2789.7571995527105,1366.981027780828,1422.7761717718824
2021A00032425,2425,2021,Chicken,25240.276142572475,18172.998822652182,7067.277319920294
2021A00032425,2425,2021,Turkey,1812.2948112460501,1395.4670046594588,416.82780658659163
2021A00032425,2425,2021,Rabbit,14.599136347042709,7.737542263932636,6.861594083110073
2021A00032426,2426,2021,Hogs,0.0,0.0,0.0
2021A00032426,2426,2021,Sheep,0.0,0.0,0.0
2021A00032426,2426,2021,Goat,0.0,0.0,0.0
2021A00032426,2426,2021,Calves,0.0,0.0,0.0
2021A00032426,2426,2021,Cattle,0.0,0.0,0.0
2021A00032426,2426,2021,Chicken,0.0,0.0,0.0
2021A00032426,2426,2021,Turkey,0.0,0.0,0.0
2021A00032426,2426,2021,Rabbit,0.0,0.0,0.0
2021A00032427,2427,2021,Hogs,0.0,0.0,0.0
2021A00032427,2427,2021,Sheep,0.0,0.0,0.0
2021A00032427,2427,2021,Goat,0.0,0.0,0.0
2021A00032427,2427,2021,Calves,0.0,0.0,0.0
2021A00032427,2427,2021,Cattle,0.0,0.0,0.0
2021A00032427,2427,2021,Chicken,0.0,0.0,0.0
2021A00032427,2427,2021,Turkey,0.0,0.0,0.0
2021A00032427,2427,2021,Rabbit,0.0,0.0,0.0
2021A00032428,2428,2021,Hogs,0.0,0.0,0.0
2021A00032428,2428,2021,Sheep,0.0,0.0,0.0
2021A00032428,2428,2021,Goat,0.0,0.0,0.0
2021A00032428,2428,2021,Calves,0.0,0.0,0.0
2021A00032428,2428,2021,Cattle,0.0,0.0,0.0
2021A00032428,2428,2021,Chicken,0.0,0.0,0.0
2021A00032428,2428,2021,Turkey,0.0,0.0,0.0
2021A00032428,2428,2021,Rabbit,0.0,0.0,0.0
2021A00032429,2429,2021,Hogs,0.0,0.0,0.0
2021A00032429,2429,2021,Sheep,0.0,0.0,0.0
2021A00032429,2429,2021,Goat,0.0,0.0,0.0
2021A00032429,2429,2021,Calves,0.0,0.0,0.0
2021A00032429,2429,2021,Cattle,0.0,0.0,0.0
2021A00032429,2429,2021,Chicken,0.0,0.0,0.0
2021A00032429,2429,2021,Turkey,0.0,0.0,0.0
2021A00032429,2429,2021,Rabbit,0.0,0.0,0.0
2021A00032430,2430,2021,Hogs,0.0,0.0,0.0
2021A00032430,2430,2021,Sheep,0.0,0.0,0.0
2021A00032430,2430,2021,Goat,0.0,0.0,0.0
2021A00032430,2430,2021,Calves,0.0,0.0,0.0
2021A00032430,2430,2021,Cattle,0.0,0.0,0.0
2021A00032430,2430,2021,Chicken,0.0,0.0,0.0
2021A00032430,2430,2021,Turkey,0.0,0.0,0.0
2021A00032430,2430,2021,Rabbit,0.0,0.0,0.0
2021A00032431,2431,2021,Hogs,0.0,0.0,0.0
2021A00032431,2431,2021,Sheep,0.0,0.0,0.0
2021A00032431,2431,2021,Goat,0.0,0.0,0.0
2021A00032431,2431,2021,Calves,0.0,0.0,0.0
2021A00032431,2431,2021,Cattle,0.0,0.0,0.0
2021A00032431,2431,2021,Chicken,0.0,0.0,0.0
2021A00032431,2431,2021,Turkey,0.0,0.0,0.0
2021A00032431,2431,2021,Rabbit,0.0,0.0,0.0
2021A00032432,2432,2021,Hogs,0.0,0.0,0.0
2021A00032432,2432,2021,Sheep,0.0,0.0,0.0
2021A00032432,2432,2021,Goat,0.0,0.0,0.0
2021A00032432,2432,2021,Calves,0.0,0.0,0.0
2021A00032432,2432,2021,Cattle,0.0,0.0,0.0
2021A00032432,2432,2021,Chicken,0.0,0.0,0.0
2021A00032432,2432,2021,Turkey,0.0,0.0,0.0
2021A00032432,2432,2021,Rabbit,0.0,0.0,0.0
2021A00032433,2433,2021,Hogs,0.0,0.0,0.0
2021A00032433,2433,2021,Sheep,0.0,0.0,0.0
2021A00032433,2433,2021,Goat,0.0,0.0,0.0
2021A00032433,2433,2021,Calves,0.0,0.0,0.0
2021A00032433,2433,2021,Cattle,0.0,0.0,0.0
2021A00032433,2433,2021,Chicken,0.0,0.0,0.0
2021A00032433,2433,2021,Turkey,0.0,0.0,0.0
2021A00032433,2433,2021,Rabbit,0.0,0.0,0.0
2021A00032434,2434,2021,Hogs,0.0,0.0,0.0
2021A00032434,2434,2021,Sheep,0.0,0.0,0.0
2021A00032434,2434,2021,Goat,0.0,0.0,0.0
2021A00032434,2434,2021,Calves,0.0,0.0,0.0
2021A00032434,2434,2021,Cattle,0.0,0.0,0.0
2021A00032434,2434,2021,Chicken,0.0,0.0,0.0
2021A00032434,2434,2021,Turkey,0.0,0.0,0.0
2021A00032434,2434,2021,Rabbit,0.0,0.0,0.0
2021A00032435,2435,2021,Hogs,0.0,0.0,0.0
2021A00032435,2435,2021,Sheep,0.0,0.0,0.0
2021A00032435,2435,2021,Goat,0.0,0.0,0.0
2021A00032435,2435,2021,Calves,0.0,0.0,0.0
2021A00032435,2435,2021,Cattle,0.0,0.0,0.0
2021A00032435,2435,2021,Chicken,0.0,0.0,0.0
2021A00032435,2435,2021,Turkey,0.0,0.0,0.0
2021A00032435,2435,2021,Rabbit,0.0,0.0,0.0
2021A00032436,2436,2021,Hogs,0.0,0.0,0.0
2021A00032436,2436,2021,Sheep,0.0,0.0,0.0
2021A00032436,2436,2021,Goat,0.0,0.0,0.0
2021A00032436,2436,2021,Calves,0.0,0.0,0.0
2021A00032436,2436,2021,Cattle,0.0,0.0,0.0
2021A00032436,2436,2021,Chicken,0.0,0.0,0.0
2021A00032436,2436,2021,Turkey,0.0,0.0,0.0
2021A00032436,2436,2021,Rabbit,0.0,0.0,0.0
2021A00032437,2437,2021,Hogs,99801.34128313739,79841.07302650993,19960.268256627467
