"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123380","4.11.1","8.9","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123381","4.11.2","9.2","","","","1"
"2000","Prince Edward Island","2016A000211","Total supply of cattle","January to June","Head","148","thousands","3","v41123382","5.1.1","106.2","","","","1"
"2000","Prince Edward Island","2016A000211","Total supply of cattle","July to December","Head","148","thousands","3","v41123383","5.1.2","101.7","","","","1"
"2000","Prince Edward Island","2016A000211","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123384","5.2.1","90.0","","","","1"
"2000","Prince Edward Island","2016A000211","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123385","5.2.2","88.5","","","","1"
"2000","Prince Edward Island","2016A000211","Calves born","January to June","Head","148","thousands","3","v41123386","5.3.1","15.9","","","","1"
"2000","Prince Edward Island","2016A000211","Calves born","July to December","Head","148","thousands","3","v41123387","5.3.2","12.0","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123388","5.4.1","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123389","5.4.2","1.2","","","","1"
"2000","Prince Edward Island","2016A000211","International imports of cattle","January to June","Head","148","thousands","3","v41123390","5.5.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","International imports of cattle","July to December","Head","148","thousands","3","v41123391","5.5.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Total disposition of cattle","January to June","Head","148","thousands","3","v41123392","5.6.1","17.7","","","","1"
"2000","Prince Edward Island","2016A000211","Total disposition of cattle","July to December","Head","148","thousands","3","v41123393","5.6.2","15.2","","","","1"
"2000","Prince Edward Island","2016A000211","Slaughter of cattle","January to June","Head","148","thousands","3","v41123394","5.7.1","15.2","","","","1"
"2000","Prince Edward Island","2016A000211","Slaughter of cattle","July to December","Head","148","thousands","3","v41123395","5.7.2","12.8","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123396","5.8.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123397","5.8.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","International exports of cattle","January to June","Head","148","thousands","3","v41123398","5.9.1","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","International exports of cattle","July to December","Head","148","thousands","3","v41123399","5.9.2","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123400","5.10.1","2.2","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123401","5.10.2","2.1","","","","1"
"2000","Prince Edward Island","2016A000211","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123402","5.11.1","88.5","","","","1"
