"REF_DATE","GEO","DGUID","Supply and disposition of hogs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Eastern provinces","","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723054","2.7.2","306.5","","","","1"
"2008","Eastern provinces","","International exports of hogs","January to June","Head","148","thousands","3","v1064723055","2.8.1","1113.6","","","","1"
"2008","Eastern provinces","","International exports of hogs","July to December","Head","148","thousands","3","v1064723056","2.8.2","941.6","","","","1"
"2008","Eastern provinces","","Deaths and condemnations of hogs","January to June","Head","148","thousands","3","v1064723057","2.9.1","403.5","","","","1"
"2008","Eastern provinces","","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723058","2.9.2","407.4","","","","1"
"2008","Eastern provinces","","Other disposition of hogs","January to June","Head","148","thousands","3","v1066363632","2.10.1","6626.7","","","","1"
"2008","Eastern provinces","","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363633","2.10.2","6859.6","","","","1"
"2008","Eastern provinces","","Ending inventory of hogs","January to June","Head","148","thousands","3","v1064723059","2.11.1","7702.0","","","","1"
"2008","Eastern provinces","","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723060","2.11.2","7476.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total supply of hogs","January to June","Head","148","thousands","3","v1064723061","3.1.1","3.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total supply of hogs","July to December","Head","148","thousands","3","v1064723062","3.1.2","3.7","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Beginning inventory of hogs","January to June","Head","148","thousands","3","v1064723063","3.2.1","1.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723064","3.2.2","1.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Pig crop","January to June","Head","148","thousands","3","v1064723065","3.3.1","2.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Pig crop","July to December","Head","148","thousands","3","v1064723066","3.3.2","2.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Interprovincial imports of hogs","January to June","Head","148","thousands","3","v1064723067","3.4.1","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723068","3.4.2","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","International imports of hogs","January to June","Head","148","thousands","3","v1064723069","3.5.1","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","International imports of hogs","July to December","Head","148","thousands","3","v1064723070","3.5.2","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total disposition of hogs","January to June","Head","148","thousands","3","v1066363634","3.6.1","2.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363635","3.6.2","2.2","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Interprovincial exports of hogs","January to June","Head","148","thousands","3","v1064723071","3.7.1","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723072","3.7.2","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","International exports of hogs","January to June","Head","148","thousands","3","v1064723073","3.8.1","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","International exports of hogs","July to December","Head","148","thousands","3","v1064723074","3.8.2","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Deaths and condemnations of hogs","January to June","Head","148","thousands","3","v1064723075","3.9.1","0.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723076","3.9.2","0.1","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Other disposition of hogs","January to June","Head","148","thousands","3","v1066363636","3.10.1","2.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363637","3.10.2","2.1","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Ending inventory of hogs","January to June","Head","148","thousands","3","v1064723077","3.11.1","1.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723078","3.11.2","1.5","","","","1"
"2008","Prince Edward Island","2016A000211","Total supply of hogs","January to June","Head","148","thousands","3","v1064723079","4.1.1","154.9","","","","1"
"2008","Prince Edward Island","2016A000211","Total supply of hogs","July to December","Head","148","thousands","3","v1064723080","4.1.2","119.2","","","","1"
"2008","Prince Edward Island","2016A000211","Beginning inventory of hogs","January to June","Head","148","thousands","3","v1064723081","4.2.1","101.7","","","","1"
"2008","Prince Edward Island","2016A000211","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723082","4.2.2","68.1","","","","1"
