Crop,Plant part,N (%wt),P (%wt),K (%wt),Ca (%wt),Mg (%wt),S (%wt),Cu (%wt),Mn (%wt),Zn (%wt)
Northern hardwoods ,Wood,0.2,0.02,0.1,0.29,,,,,
Douglas fir ,Wood,0.16,,,,,,,,
Apples ,Fruit,0.13,0.02,0.16,0.03,0.02,0.04,0.0001,0.0001,0.0001
Bananas ,Fruit,0.19,0.02,0.54,0.23,0.3,,,,
Cantaloupe ,Fruit,0.22,0.09,0.46,,0.34,,,,
Coconuts ,Fruit,,,,,,,,,
Grapes ,Fruit,0.28,0.1,0.5,,0.04,,,,
Oranges ,Fruit,0.2,0.02,0.21,0.06,0.02,0.02,0.0004,0.0001,0.004
Peaches ,Fruit,0.12,0.03,0.19,0.01,0.03,0.01,,,0.001
Pineapple ,Fruit,0.43,0.35,1.68,0.02,0.18,0.04,,,
Tomatoes ,Fruit,0.3,0.04,0.33,0.02,0.03,0.04,0.0002,0.0003,0.0001
Alfalfa haylage,Silage,2.79,0.33,2.32,0.97,0.33,0.36,0.0009,0.0052,
Corn silage,Silage,1.1,0.25,1.09,0.36,0.18,0.15,0.0005,0.007,
Forage sorghum,Silage,1.44,0.19,1.02,0.37,0.31,0.11,0.0032,0.0045,
Oat haylage,Silage,1.6,0.28,0.94,0.31,0.24,0.18,,,
Sorghum-sudan,Silage,1.36,0.16,1.45,0.43,0.34,0.04,,0.0091,
Sugarcane ,Crop,0.16,0.04,0.37,0.05,0.04,0.04,,,
Sugar beets ,Beet,0.2,0.03,0.14,0.11,0.08,0.03,0.0001,0.0025,
Sugar beets ,Top,0.43,0.04,1.03,0.18,0.19,0.1,0.0002,0.001,
Tobacco,Crop,3.75,0.33,4.98,3.75,0.9,0.7,0.0015,0.0275,0.0035
Bluegrass ,Grass,2.91,0.43,1.95,0.53,0.23,0.66,0.0014,0.0075,0.002
Bentgrass ,Grass,3.1,0.41,2.21,0.65,0.27,0.21,,,
Bermudagrass ,Grass,1.88,0.19,1.4,0.37,0.15,0.22,0.0013,,
Bell peppers ,Vegetable,0.4,0.12,0.49,,0.04,,,,
"Beans, dry ",Vegetable,3.13,0.45,0.86,0.08,0.08,0.21,0.0008,0.0013,0.0025
Cabbage ,Vegetable,0.33,0.04,0.27,0.05,0.02,0.11,0.0001,0.0003,0.0002
Carrots ,Vegetable,0.19,0.04,0.25,0.05,0.02,0.02,0.0001,0.0004,
Cassava ,Vegetable,0.4,0.13,0.63,0.26,0.13,,,,
Celery ,Vegetable,0.17,0.09,0.45,,,,,,
Cucumbers ,Vegetable,0.2,0.07,0.33,,0.02,,,,
Lettuce (heads) ,Vegetable,0.23,0.08,0.46,,,,,,
Onions ,Vegetable,0.3,0.06,0.22,0.07,0.01,0.12,0.0002,0.005,0.0021
Peas ,Vegetable,3.68,0.4,0.9,0.08,0.24,0.24,,,
Potatoes ,Vegetable,0.33,0.06,0.52,0.01,0.03,0.03,0.0002,0.0004,0.0002
Snap beans ,Vegetable,0.88,0.26,0.96,0.05,0.1,0.11,0.0005,0.0009,
Sweet corn ,Vegetable,0.89,0.24,0.58,,0.07,0.06,,,
Sweet potatoes ,Vegetable,0.3,0.04,0.42,0.03,0.06,0.04,0.0002,0.0004,0.0002
Table beets ,Vegetable,0.26,0.04,0.28,0.03,0.02,0.02,0.0001,0.0007,
Cattails ,Wetland plant,1.02,0.18,,,,,,,
Rushes ,Wetland plant,1.67,,,,,,,,
Saltgrass ,Wetland plant,1.44,0.27,0.62,,,,,,
Sedges ,Wetland plant,1.79,0.26,,0.66,,,,,
Water hyacinth ,Wetland plant,,3.65,0.87,3.12,,,,,
Duckweed ,Wetland plant,3.36,1,2.13,,,,,,
Arrowweed ,Wetland plant,2.74,,,,,,,,
Phragmites ,Wetland plant,1.83,0.1,0.52,,,,,,
