CD,Sheep,Lamb,Sheep_AU,Lamb_AU,SheepAnimalUnits,Sheep_Manure_kgperyear,Lamb_Manure_kgperyear,SheepManure_kgperyear,Sheep_P_kgperyear,Lamb_P_kgperyear,SheepP_kgperyear,Sheep_Pinorg_kgperyear,Lamb_Pinorg_kgperyear,SheepPinorg_kgperyear,Sheep_Porg_kgperyear,Lamb_Porg_kgperyear,SheepPorg_kgperyear
2419,40.0,876.0,8.0,122.6890756302521,130.6890756302521,53027.2,813232.2689075631,866259.468907563,92.79759999999999,1423.1564705882352,1515.954070588235,45.47082399999999,697.3466705882352,742.8174945882351,47.326775999999995,725.8098,773.136576
2420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,3673.0,2077.0,734.6,290.89635854341736,1025.4963585434175,4869222.640000001,1928177.4229691876,6797400.062969188,8521.13962,3374.3104901960783,11895.450110196078,4175.3584138,1653.4121401960783,5828.770553996078,4345.7812062,1720.89835,6066.679556200001
2427,1003.0,726.0,200.6,101.68067226890757,302.28067226890755,1329657.0399999998,673980.168067227,2003637.2080672267,2326.8998199999996,1179.465294117647,3506.365114117647,1140.1809117999999,577.937994117647,1718.1189059176468,1186.7189081999998,601.5273000000001,1788.2462081999997
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,1122.0,1276.0,224.4,178.71148459383755,403.11148459383753,1487412.9600000002,1184571.2044817929,2671984.164481793,2602.9726800000003,2072.9996078431373,4675.972287843138,1275.4566132000002,1015.7698078431372,2291.2264210431376,1327.5160668,1057.2298,2384.7458668
2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,3208.0,2090.0,641.6,292.7170868347339,934.3170868347339,4252781.44,1940245.93837535,6193027.3783753505,7442.36752,3395.4303921568626,10837.797912156862,3646.7600847999997,1663.7608921568626,5310.520976956863,3795.6074352,1731.6695,5527.2769352
2433,3125.0,2226.0,625.0,311.7647058823529,936.7647058823529,4142750.0,2066501.176470588,6209251.176470588,7249.8125,3616.377058823529,10866.18955882353,3552.408125,1772.024758823529,5324.432883823529,3697.404375,1844.3522999999998,5541.756675
2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2438,2161.0,1271.0,432.2,178.01120448179273,610.2112044817927,2864794.48,1179929.467787115,4044723.947787115,5013.39034,2064.876568627451,7078.266908627451,2456.5612665999997,1011.789518627451,3468.3507852274506,2556.8290734,1053.08705,3609.9161234000003
2439,5564.0,4269.0,1112.8,597.8991596638656,1710.6991596638654,7376083.5200000005,3963114.789915967,11339198.309915967,12908.146159999998,6935.450882352941,19843.59704235294,6324.991618399999,3398.370932352941,9723.36255075294,6583.154541599999,3537.0799500000003,10120.2344916
2440,2717.0,1764.0,543.4,247.05882352941177,790.4588235294118,3601872.56,1637604.705882353,5239477.265882353,6303.27698,2865.8082352941174,9169.085215294117,3088.6057201999997,1404.2460352941175,4492.851755494117,3214.6712598,1461.5621999999998,4676.2334598
2441,4117.0,4084.0,823.4,571.9887955182073,1395.3887955182072,5457824.56,3791370.532212885,9249195.092212886,9551.192979999998,6634.898431372549,16186.091411372547,4680.084560199999,3251.100231372549,7931.184791572548,4871.108419799999,3383.7981999999997,8254.906619799998
2442,6540.0,4502.0,1308.0,630.5322128851541,1938.532212885154,8669947.2,4179419.7198879556,12849366.919887954,15172.407599999999,7313.984509803921,22486.39210980392,7434.479723999999,3583.8524098039215,11018.33213380392,7737.927876,3730.1321,11468.059976
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,62.0,1149.0,12.4,160.92436974789916,173.32436974789917,82192.16,1066671.0924369749,1148863.2524369748,143.83628,1866.674411764706,2010.510691764706,70.47977719999999,914.6704617647059,985.1502389647059,73.3565028,952.0039500000001,1025.3604528
