CD,ChickensBroilers,ChickensPullets,ChickensLayers,TurkeysMature,ChickensBroilers_AU,ChickensPullets_AU,ChickensLayers_AU,TurkeysMature_AU,PoultryAnimalUnits,ChickensBroilers_Manure_kgperyear,ChickensPullets_Manure_kgperyear,ChickensLayers_Manure_kgperyear,TurkeysMature_Manure_kgperyear,PoultryManure_kgperyear,ChickensBroilers_P_kgperyear,ChickensPullets_P_kgperyear,ChickensLayers_P_kgperyear,TurkeysMature_P_kgperyear,PoultryP_kgperyear,ChickensBroilers_Pinorg_kgperyear,ChickensPullets_Pinorg_kgperyear,ChickensLayers_Pinorg_kgperyear,TurkeysMature_Pinorg_kgperyear,PoultryPinorg_kgperyear,ChickensBroilers_Porg_kgperyear,ChickensPullets_Porg_kgperyear,ChickensLayers_Porg_kgperyear,TurkeysMature_Porg_kgperyear,PoultryPorg_kgperyear
2455,1035997.68,233577.96000000002,0.0,88460.8,2276.9179780219783,513.3581538461539,0.0,1769.2160000000001,4559.492131868133,30921649.535990644,3874692.640051194,0.0,14637576.022425583,49433918.198467426,98387.06670542473,22432.43107398061,0.0,60989.900093439974,181809.39787284532,56080.62802209209,12786.485712168946,0.0,36593.940056063984,105461.05379032501,42306.438683332635,9645.945361811662,0.0,24395.96003737599,76348.34408252029
2456,193179.16,0.0,0.0,0.0,424.5695824175824,0.0,0.0,0.0,424.5695824175824,5765860.675650414,0.0,0.0,0.0,5765860.675650414,18345.920331614943,0.0,0.0,0.0,18345.920331614943,10457.174589020517,0.0,0.0,0.0,10457.174589020517,7888.745742594426,0.0,0.0,0.0,7888.745742594426
2457,289816.68,0.0,0.0,0.0,636.9597362637362,0.0,0.0,0.0,636.9597362637362,8650221.889149738,0.0,0.0,0.0,8650221.889149738,27523.433283658243,0.0,0.0,0.0,27523.433283658243,15688.356971685198,0.0,0.0,0.0,15688.356971685198,11835.076311973044,0.0,0.0,0.0,11835.076311973044
2458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460,78054.48000000001,19446.640000000003,74510.0,0.0,171.5483076923077,42.739868131868135,298.04,0.0,512.3281758241758,2329709.1507714484,322589.3097179424,3095804.3664399977,0.0,5748102.826929389,7412.710934272787,1867.6223194196675,17923.07791096842,0.0,27203.411164660873,4225.245232535488,1064.5447220692104,10216.154409251998,0.0,15505.944363856695,3187.4657017372983,803.077597350457,7706.92350171642,0.0,11697.466800804175
2461,261211.80000000002,16339.720000000001,0.0,3060.0,574.0918681318682,35.91147252747253,0.0,61.2,671.2033406593407,7796445.7741500735,271050.37146697106,0.0,506337.07391999935,8573833.219537044,24806.87291775022,1569.2389927035176,0.0,2109.7378079999994,28485.849718453737,14139.917563117624,894.466225841005,0.0,1265.8426847999997,16300.226473758628,10666.955354632595,674.7727668625125,0.0,843.8951231999998,12185.623244695107
2462,2939614.8400000003,188803.36000000002,0.0,80176.8,6460.691956043956,414.9524395604396,0.0,1603.536,8479.180395604395,87739327.6143989,3131952.1302820523,0.0,13266825.590937585,104138105.33561854,279170.58786399633,18132.354438475053,0.0,55278.43996223998,352581.38226471137,159127.23508247788,10335.442029930779,0.0,33167.06397734398,202629.74108975264,120043.35278151842,7796.912408544273,0.0,22111.375984895993,149951.6411749587
2463,600094.56,54941.280000000006,0.0,16824.8,1318.889142857143,120.75006593406594,0.0,336.496,1776.1352087912092,17911153.693678647,911389.8128530271,0.0,2783993.4644735963,21606536.971005272,56990.03447988657,5276.46733757016,0.0,11599.972768639995,73866.47458609672,32484.31965353534,3007.586382414991,0.0,6959.983661183996,42451.889697134335,24505.714826351224,2268.880955155169,0.0,4639.989107455998,31414.58488896239
2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
